timestamp,event_type,application,cpu_pct,ram_pct,hour_slot,extra
2026-03-14 01:40:57.941,window_switch,dashboard.py - attention_pro - Visual Studio Code,9.3,82.0,01:00,→ (2) Instagram - Google Chrome
2026-03-14 01:40:57.941,mouse_click,(2) Instagram - Google Chrome,9.3,82.0,01:00,btn:left
2026-03-14 01:40:59.488,window_switch,(2) Instagram - Google Chrome,7.2,82.2,01:00,→ NeuroFocus · Attention Intelligence - Personal - Microsoft​ Edge
2026-03-14 01:40:59.488,mouse_click,NeuroFocus · Attention Intelligence - Personal - Microsoft​ Edge,7.2,82.2,01:00,btn:left
2026-03-14 01:41:01.597,window_switch,NeuroFocus · Attention Intelligence - Personal - Microsoft​ Edge,9.3,82.5,01:00,→ dashboard.py - attention_pro - Visual Studio Code
2026-03-14 01:41:01.597,mouse_click,dashboard.py - attention_pro - Visual Studio Code,9.3,82.5,01:00,btn:left
2026-03-14 01:41:03.414,window_switch,dashboard.py - attention_pro - Visual Studio Code,10.1,82.6,01:00,→ (2) Instagram - Google Chrome
2026-03-14 01:41:03.414,mouse_click,(2) Instagram - Google Chrome,10.1,82.6,01:00,btn:left
2026-03-14 01:41:06.892,window_switch,(2) Instagram - Google Chrome,10.6,82.6,01:00,→ Streamlit dashboard deprecation warnings and offline functionality - Claude - Google Chrome
2026-03-14 01:41:06.892,mouse_click,Streamlit dashboard deprecation warnings and offline functionality - Claude - Google Chrome,10.6,82.6,01:00,btn:left
2026-03-14 01:41:12.140,idle,Streamlit dashboard deprecation warnings and offline functionality - Claude - Google Chrome,8.7,82.7,01:00,gap:5s
2026-03-14 01:41:20.832,mouse_click,Streamlit dashboard deprecation warnings and offline functionality - Claude - Google Chrome,11.0,82.0,01:00,btn:left
2026-03-14 01:41:21.844,window_switch,Streamlit dashboard deprecation warnings and offline functionality - Claude - Google Chrome,10.5,82.4,01:00,→ (2) Instagram - Google Chrome
2026-03-14 01:41:21.844,mouse_click,(2) Instagram - Google Chrome,10.5,82.4,01:00,btn:left
2026-03-14 01:41:26.855,window_switch,(2) Instagram - Google Chrome,10.8,82.8,01:00,→ (171) Jhol | Coke Studio Pakistan | Season 15 | Maanu x Annural Khalid - YouTube - Google Chrome
2026-03-14 01:41:26.855,idle,(171) Jhol | Coke Studio Pakistan | Season 15 | Maanu x Annural Khalid - YouTube - Google Chrome,10.8,82.8,01:00,gap:5s
2026-03-14 01:41:29.070,mouse_click,(171) Jhol | Coke Studio Pakistan | Season 15 | Maanu x Annural Khalid - YouTube - Google Chrome,9.4,82.6,01:00,btn:left
2026-03-14 01:41:30.894,window_switch,(171) Jhol | Coke Studio Pakistan | Season 15 | Maanu x Annural Khalid - YouTube - Google Chrome,7.8,82.7,01:00,→ dashboard.py - attention_pro - Visual Studio Code
2026-03-14 01:41:30.894,mouse_click,dashboard.py - attention_pro - Visual Studio Code,7.8,82.7,01:00,btn:left
2026-03-14 01:41:32.405,window_switch,dashboard.py - attention_pro - Visual Studio Code,10.1,82.7,01:00,→ (171) Jhol | Coke Studio Pakistan | Season 15 | Maanu x Annural Khalid - YouTube - Google Chrome
2026-03-14 01:41:32.405,mouse_click,(171) Jhol | Coke Studio Pakistan | Season 15 | Maanu x Annural Khalid - YouTube - Google Chrome,10.1,82.7,01:00,btn:left
2026-03-14 01:41:37.598,window_switch,(171) Jhol | Coke Studio Pakistan | Season 15 | Maanu x Annural Khalid - YouTube - Google Chrome,9.5,82.4,01:00,→ Streamlit dashboard deprecation warnings and offline functionality - Claude - Google Chrome
2026-03-14 01:41:37.598,idle,Streamlit dashboard deprecation warnings and offline functionality - Claude - Google Chrome,9.5,82.4,01:00,gap:5s
2026-03-14 01:48:01.168,idle,Streamlit dashboard deprecation warnings and offline functionality - Claude - Google Chrome,8.3,80.4,01:00,gap:5s
2026-03-14 01:48:06.930,mouse_click,Streamlit dashboard deprecation warnings and offline functionality - Claude - Google Chrome,8.3,80.7,01:00,btn:left
2026-03-14 01:48:10.927,mouse_click,Streamlit dashboard deprecation warnings and offline functionality - Claude - Google Chrome,8.7,80.9,01:00,btn:left
2026-03-14 01:48:14.579,mouse_click,Streamlit dashboard deprecation warnings and offline functionality - Claude - Google Chrome,7.4,80.8,01:00,btn:left
2026-03-14 01:48:20.079,idle,Streamlit dashboard deprecation warnings and offline functionality - Claude - Google Chrome,9.2,80.6,01:00,gap:5s
2026-03-14 01:48:42.623,mouse_click,Streamlit dashboard deprecation warnings and offline functionality - Claude - Google Chrome,7.0,79.7,01:00,btn:left
2026-03-14 01:48:44.397,mouse_click,Streamlit dashboard deprecation warnings and offline functionality - Claude - Google Chrome,7.2,79.7,01:00,btn:left
2026-03-14 01:48:49.896,idle,Streamlit dashboard deprecation warnings and offline functionality - Claude - Google Chrome,7.3,80.2,01:00,gap:5s
2026-03-14 01:48:51.293,mouse_click,Streamlit dashboard deprecation warnings and offline functionality - Claude - Google Chrome,8.0,80.2,01:00,btn:left
2026-03-14 01:48:51.535,mouse_click,Streamlit dashboard deprecation warnings and offline functionality - Claude - Google Chrome,7.0,80.2,01:00,btn:left
2026-03-14 01:48:52.577,mouse_click,Streamlit dashboard deprecation warnings and offline functionality - Claude - Google Chrome,7.7,80.2,01:00,btn:left
2026-03-14 01:48:58.041,idle,Streamlit dashboard deprecation warnings and offline functionality - Claude - Google Chrome,7.3,80.0,01:00,gap:5s
2026-03-14 01:49:02.702,mouse_click,Streamlit dashboard deprecation warnings and offline functionality - Claude - Google Chrome,7.1,79.7,01:00,btn:left
2026-03-14 01:49:06.387,mouse_click,Streamlit dashboard deprecation warnings and offline functionality - Claude - Google Chrome,9.4,79.8,01:00,btn:left
2026-03-14 01:49:11.825,window_switch,Streamlit dashboard deprecation warnings and offline functionality - Claude - Google Chrome,8.9,80.1,01:00,→ dashboard.py - attention_pro - Visual Studio Code
2026-03-14 01:49:11.825,idle,dashboard.py - attention_pro - Visual Studio Code,8.9,80.1,01:00,gap:5s
2026-03-14 01:49:12.271,mouse_click,dashboard.py - attention_pro - Visual Studio Code,9.9,80.1,01:00,btn:left
2026-03-14 01:49:14.943,window_switch,dashboard.py - attention_pro - Visual Studio Code,15.7,81.0,01:00,→ Home - File Explorer
2026-03-14 01:49:14.943,mouse_click,Home - File Explorer,15.7,81.0,01:00,btn:left
2026-03-14 01:49:16.838,window_switch,Home - File Explorer,9.3,81.0,01:00,→ Downloads - File Explorer
2026-03-14 01:49:16.838,mouse_click,Downloads - File Explorer,9.3,81.0,01:00,btn:left
2026-03-14 01:49:17.102,mouse_click,Downloads - File Explorer,7.5,81.0,01:00,btn:left
2026-03-14 01:49:20.501,window_switch,Downloads - File Explorer,10.9,80.9,01:00,→ dashboard.py - attention_pro - Visual Studio Code
2026-03-14 01:49:20.501,mouse_click,dashboard.py - attention_pro - Visual Studio Code,10.9,80.9,01:00,btn:left
2026-03-14 01:49:22.281,keyboard,dashboard.py - attention_pro - Visual Studio Code,8.5,80.8,01:00,burst:10
2026-03-14 01:49:23.963,mouse_click,dashboard.py - attention_pro - Visual Studio Code,7.5,80.8,01:00,btn:left
